ID,trad_male,UHCollege,UHDept,Gender,YearPhDcompleted,YearsSincePhd,H2019,salary,female_c,udept_female_c,years_c,udept_avg_years_c,h_c,udept_avg_h_c,University,unique_college,unique_dept
8091a69a02af6068,1,Engineering,Mechanical Engineering,Male,2001,18,33,107300.07,-0.1111111111111111,-0.1183646554566436,0.33333333333333215,-1.9765556384282696,6.777777777777779,-0.5687685106231726,University9,University9: Engineering,University9: Mechanical Engineering
8092689db03377c2,0,CLASS,Psychology,Male,2000,19,76,14861,-0.18181818181818182,-0.04765758474957288,1.09090909090909,-1.7341313960040274,37.54545454545455,11.66355472170006,University16,University16: Arts and Science,University16: Psychology
80975fbcbe4c4e4a,1,Engineering,Mechanical Engineering,Male,1999,20,32,140000.04,-0.11538461538461539,-0.11409115118313931,2.6923076923076934,-2.335529997402631,9.23076923076923,-4.021759963614624,University6,University6: Engineering,University6: Mechanical
80e166683300c7b1,0,CLASS,Economics,Male,1990,29,12,141000,-0.3076923076923077,0.07821654112455301,3.8846153846153832,5.472162310289679,-15.346153846153847,0.5551631133084527,University7,University7: Behavioral and Social Sciences,University7: Economics
80e3616ba7bdd90a,1,NSM,Mathematics,Male,1966,53,114,26000,-0.09090909090909091,-0.1385666756586638,23.363636363636363,9.9931413312687,82.63636363636364,4.572645630790969,University7,University7: Computer Mathematical & Natural Sciences,University7: Mathematics
8101b03f4051c877,1,Engineering,Electrical & Computer Engineering,Male,2010,9,14,110160,-0.2,-0.02947576656775469,-7.977777777777778,-2.6654445273171596,-14.977777777777778,2.186787044932384,University3,University3: Engineering,University3: Electrical Engineering
8127a13267c644f1,1,Engineering,Electrical & Computer Engineering,Female,2007,12,21,104000,0.8,-0.02947576656775469,-4.977777777777778,-2.6654445273171596,-7.977777777777778,2.186787044932384,University3,University3: Engineering,University3: Electrical Engineering
813d3258a96b8622,1,NSM,Earth & Atmospheric Sciences,Female,2001,18,20,108840,0.6428571428571428,0.12766709057510245,0.42857142857142705,-2.0717937336663645,-6.428571428571427,-0.36241930427396696,University2,University2: Arts and Sciences,University2: Earth Sciences
81768dfa7e2c6570,1,NSM,Biology & Biochemistry,Female,2012,7,8,72892,0.6666666666666667,0.10385756676557861,-10.333333333333332,-2.3098889717616053,-13.333333333333332,-5.457657399512062,University1,University1: Sciences,University1: Biology
81867671c22cade8,1,Engineering,Electrical & Computer Engineering,Male,1984,35,42,122397.66,-0.06818181818181818,-0.16129394838593653,12.522727272727273,2.834050422177789,12.25,2.959009267154606,University6,University6: Engineering,University6: Electrical Engineering
